global_env_steps,update_idx,phase,rl_variant,init_mode,steps_per_sec,elapsed_sec,eta_sec,mean_episode_return,mean_terminal_lambda2_norm,mean_init_edges,mean_init_lambda2,mean_init_build_runtime_sec,mean_init_cache_hit,policy_loss,value_loss,entropy,approx_kl,learning_rate,selector_loss,selector_recall_at_k,selector_k_mean,selector_learning_rate,best_eval_metric
466000,227,phase_b_16_32,full,path,61.5727593442006,7568.281898736954,11920.85603792473,3.395495058308477,0.36006525612800655,22.855,0.0,0.0,0.0,0.007595997107273433,0.0009556105118235791,4.683845646679401,0.04794314003083855,0.00018358974358974358,0.0,0.0,0.0,0.0,0.5837356328982358
486000,237,phase_b_16_32,full,path,55.53889991966413,8750.62344956398,12855.854203680416,3.4080201549961955,0.35202212662097787,22.795,0.0,0.0,0.0,0.01747044282456045,0.0007010117261643245,4.64257275685668,0.08918137894943357,0.00017846153846153844,0.0,0.0,0.0,0.0,0.5837356328982358
506000,247,phase_b_16_32,full,path,51.046031333170035,9912.62174129486,13595.572111578327,3.442873392312962,0.34671262441126954,23.145,0.0,0.0,0.0,0.0005682579794665799,0.0005879398169099659,4.719275984913111,0.026609283668221906,0.0001733333333333333,0.0,0.0,0.0,0.0,0.5837356328982358
526000,256,phase_b_16_32,full,path,47.69744223173757,11027.845003604889,14130.736753668623,3.412415127744304,0.3468850062901361,22.675,0.0,0.0,0.0,0.006268134668061975,0.0013719368913598373,4.720529615879059,0.01724706549430266,0.00016871794871794871,0.0,0.0,0.0,0.0,0.5837356328982358
546000,266,phase_b_16_32,full,path,44.97730874675999,12139.454654216766,14540.665464940961,3.405397778653882,0.33156772585140054,23.54,0.0,0.0,0.0,0.015334235125919804,0.0009578294886978256,4.63028733804822,0.022590468695852906,0.00016358974358974358,0.0,0.0,0.0,0.0,0.5837356328982358
566000,276,phase_b_16_32,full,path,42.80981516068054,13221.267082691193,14809.687862943843,3.4054438418383293,0.35490015154797483,22.625,0.0,0.0,0.0,0.03134318506999989,0.0004026881565550866,4.688551288098097,0.056032744789263234,0.00015846153846153845,0.0,0.0,0.0,0.0,0.5837356328982358
586000,286,phase_b_16_32,full,path,41.018756960434445,14286.14720249176,14968.761744590343,3.4430728062090936,0.3758216851191626,22.545,0.0,0.0,0.0,0.0031005444325273857,0.0005648116601832953,4.721113003790379,0.02109136781655252,0.0001533333333333333,0.0,0.0,0.0,0.0,0.5837356328982358
606000,295,phase_b_16_32,full,path,39.49965628908136,15341.905650138855,15038.105538254917,3.3831347722473772,0.3487414722716883,22.94,0.0,0.0,0.0,0.006010328928823583,0.0005623392659401816,4.63471919298172,0.06649907032260671,0.00014871794871794872,0.0,0.0,0.0,0.0,0.5837356328982358
626000,305,phase_b_16_32,full,path,38.07077899102126,16443.057289361954,15077.180326028372,3.426738585677014,0.36858471800561565,23.07,0.0,0.0,0.0,0.0005647171128657646,0.0005848555379088793,4.557496678084135,0.026173834266955964,0.00014358974358974355,0.0,0.0,0.0,0.0,0.5837356328982358
646000,315,phase_b_16_32,full,path,36.822967620444885,17543.398638010025,15044.957965104571,3.4847121964695735,0.3799502177020404,23.975,0.0,0.0,0.0,0.000735245987016242,0.000240060938182296,4.726640339940786,0.007696062733884901,0.00013846153846153845,0.0,0.0,0.0,0.0,0.5837356328982358
666000,325,phase_b_16_32,full,path,35.86486643913328,18569.705288887024,14889.223159558065,3.4209802858549123,0.3697144711565961,22.53,0.0,0.0,0.0,-0.0003683163449750282,0.0006655667792756503,4.619723524898291,0.012954859819728881,0.0001333333333333333,0.0,0.0,0.0,0.0,0.5837356328982358
686000,334,phase_b_16_32,full,path,35.08783172047512,19550.937358140945,14648.953064263042,3.4044896807637532,0.35685921274155813,22.49,0.0,0.0,0.0,0.008156003770636744,0.0006176801342689942,4.591215468943119,0.044979103666264564,0.00012871794871794872,0.0,0.0,0.0,0.0,0.5837356328982358
706000,344,phase_b_16_32,full,path,34.40366109434266,20521.07181453705,14358.936935384281,3.455462883414785,0.360186941136855,23.41,0.0,0.0,0.0,0.06621789771452313,0.0005043981515200358,4.525289464741945,0.1501418359694071,0.00012358974358974358,0.0,0.0,0.0,0.0,0.5837356328982358
726000,354,phase_b_16_32,full,path,33.73993041580955,21517.531039714813,14048.635968078266,3.3294057419286553,0.36000852943424744,22.31,0.0,0.0,0.0,0.029576430668385,0.0005776515934030613,4.554819442331791,0.09471350340754725,0.00011846153846153846,0.0,0.0,0.0,0.0,0.5837356328982358
746000,364,phase_b_16_32,full,path,33.1455802447006,22506.77147579193,13697.150469181686,3.4560769106123668,0.37139238111356726,23.475,0.0,0.0,0.0,0.006801448431360768,0.0006812436850509584,4.5474022552371025,0.015753462736029178,0.00011333333333333331,0.0,0.0,0.0,0.0,0.5837356328982358
766000,374,phase_b_16_32,full,path,32.584123383743204,23508.381397247314,13319.370138910359,3.4621893799200594,0.35678462597238275,23.24,0.0,0.0,0.0,-0.0021877704275539145,0.00042923211634615654,4.564368650317192,0.03306726278970018,0.0001082051282051282,0.0,0.0,0.0,0.0,0.5837356328982358
786000,383,phase_b_16_32,full,path,32.104515551945774,24482.53731560707,12895.382250205252,3.399567960585353,0.3581272571769403,22.445,0.0,0.0,0.0,-0.0012582820709212683,0.0007728246661713456,4.598191455006599,0.024774944584351033,0.00010358974358974359,0.0,0.0,0.0,0.0,0.5837356328982358
806000,393,phase_c_16_64,full,path,30.843446922618238,26131.969037771225,12774.188338563106,3.500478737253263,0.3758635999039134,23.345,0.0,0.0,0.0,0.029113952623447403,0.001561617644370017,4.690176833420992,0.045855795353418216,9.846153846153846e-05,0.0,0.0,0.0,0.0,0.5837356328982358
