n,density,rho,m,density_actual,rho_actual,rho_conn,rho_conn_actual,m_max,m_actual,repeat_idx,method,method_label,warm_start_mode,completion_method,init_edges,residual_budget,lambda2,runtime_init_s,runtime_complete_s,runtime_lambda2_s,runtime_total_s
8,0.32142857142857145,0.32142857142857145,9,0.32142857142857145,0.32142857142857145,0.09523809523809523,0.09523809523809523,28,9,3,path_mac,MAC,path,mac,7,2,0.5857864376269046,4.325003828853369e-06,0.0029932049801573157,2.609600778669119e-05,0.0030236259917728603
8,0.35714285714285715,0.35714285714285715,10,0.35714285714285715,0.35714285714285715,0.14285714285714285,0.14285714285714285,28,10,3,path_mac,MAC,path,mac,7,3,0.9160318901727007,4.3889740481972694e-06,0.002994709007907659,2.6271038223057985e-05,0.003025369020178914
8,0.39285714285714285,0.39285714285714285,11,0.39285714285714285,0.39285714285714285,0.19047619047619047,0.19047619047619047,28,11,3,path_mac,MAC,path,mac,7,4,1.2679491924311233,4.319008439779282e-06,0.0030098550487309694,2.7125992346554995e-05,0.0030413000495173037
8,0.42857142857142855,0.42857142857142855,12,0.42857142857142855,0.42857142857142855,0.23809523809523808,0.23809523809523808,28,12,3,path_mac,MAC,path,mac,7,5,1.3344199306231965,4.4120242819190025e-06,0.0029836129979230464,2.7825997676700354e-05,0.0030158510198816657
8,0.4642857142857143,0.4642857142857143,13,0.4642857142857143,0.4642857142857143,0.2857142857142857,0.2857142857142857,28,13,3,path_mac,MAC,path,mac,7,6,1.5857864376269037,4.39200084656477e-06,0.0029968080343678594,2.6383961085230112e-05,0.0030275839962996542
8,0.5,0.5,14,0.5,0.5,0.3333333333333333,0.3333333333333333,28,14,3,path_mac,MAC,path,mac,7,7,1.4384471871911706,4.331988748162985e-06,0.0030124160111881793,2.6609981432557106e-05,0.0030433579813688993
8,0.5357142857142857,0.5357142857142857,15,0.5357142857142857,0.5357142857142857,0.38095238095238093,0.38095238095238093,28,15,3,path_mac,MAC,path,mac,7,8,2.000000000000001,4.3869949877262115e-06,0.003021835000254214,2.6616966351866722e-05,0.0030528389615938067
8,0.5714285714285714,0.5714285714285714,16,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,28,16,3,path_mac,MAC,path,mac,7,9,2.1300649496364987,4.425994120538235e-06,0.0030227209790609777,2.5908986572176218e-05,0.003053055959753692
8,0.6071428571428571,0.6071428571428571,17,0.6071428571428571,0.6071428571428571,0.47619047619047616,0.47619047619047616,28,17,3,path_mac,MAC,path,mac,7,10,2.585786437626904,4.399975296109915e-06,0.0030272899894043803,2.6709982194006443e-05,0.0030583999468944967
8,0.6428571428571429,0.6428571428571429,18,0.6428571428571429,0.6428571428571429,0.5238095238095238,0.5238095238095238,28,18,3,path_mac,MAC,path,mac,7,11,2.5857864376268997,4.273024387657642e-06,0.0030200170003809035,2.6518013328313828e-05,0.003050808038096875
8,0.6785714285714286,0.6785714285714286,19,0.6785714285714286,0.6785714285714286,0.5714285714285714,0.5714285714285714,28,19,3,path_mac,MAC,path,mac,7,12,3.5188056959079836,4.353001713752747e-06,0.003026471007615328,2.62049725279212e-05,0.0030570289818570018
